annotation_id,participant_id,dialogue_id,is_gold_standard,is_prolific_user,accuracy,novelty,interaction_adequacy,explainability,cui_adaptability,cui_understanding,cui_response_quality,cui_attentiveness,perceived_ease_of_use,perceived_usefulness,user_control,transparency,cui_humanness,cui_rapport,trust_confidence,satisfaction,intention_to_use,intention_to_purchase,time_spent,timestamp
1,P003,dialogue_18039,0,1,4,5,5,3,4,4,5,4,5,4,5,5,4,2,5,5,4,3,272.0,2025-12-20 14:56:04.076353
2,P003,dialogue_4653,0,1,2,2,3,4,2,2,3,2,3,2,3,3,5,4,2,2,1,1,195.0,2025-12-20 14:59:19.253201
3,P003,dialogue_8568,0,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,180.0,2025-12-20 15:02:19.884338
4,P003,dialogue_7551,0,1,2,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,90.0,2025-12-20 15:03:50.610612
5,P003,dialogue_13524,0,1,2,3,2,3,4,3,3,3,4,3,4,3,4,4,3,4,3,3,110.0,2025-12-20 15:05:40.929574
6,P003,dialogue_5943,0,1,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,3,123.0,2025-12-20 15:07:43.863964
7,P003,GOLD_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,119.0,2025-12-20 15:09:43.452314
8,P003,dialogue_9693,0,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,115.0,2025-12-20 15:11:38.902064
9,P003,dialogue_12249,0,1,1,1,1,2,2,1,2,2,1,2,1,2,3,1,2,1,1,1,91.0,2025-12-20 15:13:10.024801
10,P003,dialogue_11418,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87.0,2025-12-20 15:14:37.142706
11,P004,dialogue_1050,0,1,3,1,5,1,2,2,3,5,5,4,5,4,5,3,4,5,4,4,272.0,2025-12-20 15:27:01.317930
12,P005,dialogue_13381,0,1,3,4,3,3,4,4,4,5,5,4,4,5,4,5,4,4,4,5,234.0,2025-12-20 15:29:53.211413
13,P004,dialogue_3496,0,1,3,4,5,2,3,3,4,5,4,4,3,3,5,4,4,4,5,2,243.0,2025-12-20 15:31:04.505082
14,P005,dialogue_12086,0,1,2,3,3,3,4,3,4,4,3,4,3,4,4,4,4,3,4,3,188.0,2025-12-20 15:33:01.730213
15,P006,dialogue_18853,0,1,5,2,5,3,3,4,4,5,4,4,3,4,4,3,4,4,3,4,283.0,2025-12-20 15:33:46.570008
16,P004,dialogue_2107,0,1,4,1,5,2,5,5,5,5,5,2,5,4,5,3,4,2,4,4,172.0,2025-12-20 15:33:56.816534
18,P004,dialogue_16623,0,1,5,4,5,2,5,5,5,5,5,5,3,5,5,5,5,5,4,4,145.0,2025-12-20 15:36:22.918836
19,P007,dialogue_10938,0,1,3,2,4,4,3,3,3,4,3,3,4,3,4,4,3,2,3,2,437.0,2025-12-20 15:38:00.860656
17,P005,dialogue_2767,0,1,4,5,4,4,4,4,4,4,4,5,4,5,4,3,4,4,5,5,62.0,2025-12-20 15:38:27.210288
20,P004,dialogue_3776,0,1,4,5,5,2,5,5,5,5,5,5,4,5,5,3,4,4,4,4,148.0,2025-12-20 15:38:51.266659
21,P007,dialogue_1711,0,1,4,4,5,2,4,4,3,3,3,4,3,4,5,4,4,3,4,3,110.0,2025-12-20 15:39:51.076002
22,P005,dialogue_6939,0,1,5,4,4,5,4,5,4,5,4,5,4,4,5,4,4,5,4,5,101.0,2025-12-20 15:40:08.013026
23,P004,GOLD_001,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,111.0,2025-12-20 15:40:42.489875
24,P005,GOLD_001,1,1,2,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,3,67.0,2025-12-20 15:41:15.278366
